Fecha,Activos totales,A. Disponibilidades,a.1 Banco de México,a.1.1 Depósitos de regulación monetaria,a.1.2 Otros depósitos,a.2 Resto,B. BREMS L,C. Financiamiento,c.1 A sectores no bancarios internos,c.1.1 Financiamiento directo,c.1.1.1 Sector privado no bancario residente,c.1.1.2 Estados y municipios,c.1.1.3 Sector público federal,c.1.1.4 Otros,c.1.2 Títulos asociados a programas de reestructura,c.2 A la banca de desarrollo,c.3 Al sector no residente,Pasivos más Capital Totales,D. Captación,d.1 Sector privado no bancario residente ,d.1.1 De exigibilidad inmediata,d.1.2 A plazo,d.2 Banca de desarrollo,d.2.1 De exigibilidad inmediata,d.2.2 A plazo,d.3 Otros intermediarios financieros públicos,d.3.1 De exigibilidad inmediata,d.3.2 A plazo,d.4 Sector público no financiero 10/,d.4.1 De exigibilidad inmediata,d.4.2 A plazo,d.5 Sector no residente,d.5.1 De exigibilidad inmediata,d.5.2 A plazo,E. Acreedores por reporto de valores,e.1 Banco de México,e.2 Banca de desarrollo,e.3 Sector privado no bancario residente,e.4 Otros intermediarios financieros públicos,e.5 Sector público no financiero,e.6 Sector no residente,F. Financiamiento interno recibido,f.1 Banco de México,f.2 Banca de desarrollo,f.3 Otros intermediarios financieros públicos,G. Financiamiento externo recibido,H. Otros pasivos netos de otros activos más capital
01/07/2009,3986846051,557476384,285847144,267780421,18066723,271629240,N/E,3429369667,3322135806,3281811090,1772292102,106858898,1004765055,397895035,40324716,40557835,66676026,3986846051,2053784374,1850075004,931075571,918999433,3128513,574323,2554190,4625799,597438,4028361,172292606,151815009,20477597,23662452,9815257,13847195,1300912440,837314358,289180221,47624685,4904263,120575100,1313813,159581077,74871680,38615120,46094277,11462893,461105267
01/08/2009,3945926780,544824285,275405489,269638209,5767280,269418796,N/E,3401102495,3289767492,3249361114,1753080862,112301471,987129867,396848914,40406378,41763168,69571835,3945926780,2031159377,1825594029,931932295,893661734,3679654,535417,3144237,4769154,633836,4135318,172542097,152664218,19877879,24574443,10256132,14318311,1267255362,764421203,298141203,54360249,5278769,143059204,1994734,156581027,72997343,39455786,44127898,12148179,478782835
01/09/2009,4014779648,551411087,274420476,269778708,4641768,276990611,N/E,3463368561,3359507792,3319013228,1769216591,130080006,1024570748,395145883,40494564,40978549,62882220,4014779648,2072129080,1857817667,936174722,921642945,3427711,676511,2751200,4494629,639297,3855332,181736106,158239509,23496597,24652967,9063361,15589606,1227888149,722842956,315219709,50135447,4452463,133840411,1397163,171944528,83502259,44046297,44395972,12446555,530371336
01/10/2009,3995781492,557047102,273810604,270960499,2850105,283236498,N/E,3438734390,3338583621,3298293234,1761084055,151965551,998076326,387167302,40290387,41651915,58498854,3995781492,2086295877,1865132515,962434334,902698181,4482082,778520,3703562,5790046,689654,5100392,183429631,158317864,25111767,27461603,12288370,15173233,1227663622,729380989,277923961,69745188,4521319,145221348,870817,149508515,58236381,46806457,44465677,10888215,521425263
01/11/2009,4086795270,568923122,275107356,270634690,4472666,293815766,N/E,3517872148,3413846526,3373452169,1787526384,163985532,1038431246,383509007,40394357,44018139,60007483,4086795270,2130815733,1894369126,987942992,906426134,4282439,625990,3656449,3183680,742372,2441308,195882562,178645400,17237162,33097926,17088494,16009432,1233201949,717635796,300357016,60061536,3740048,150574390,833163,150030659,58243813,46846819,44940027,11409465,561337464
01/12/2009,4030039190,527844030,279313663,268214978,11098685,248530367,N/E,3502195160,3379707983,3339209949,1800274952,174229367,1033880367,330825263,40498034,50212329,72274848,4030039190,2260319847,2022756233,1062244926,960511307,5955788,1287694,4668094,5615581,703335,4912246,188731030,166215077,22515953,37261215,18073109,19188106,1050258072,724324344,201572651,33369191,3097990,87061397,832499,144986788,43193424,55965455,45827909,15626169,558848314
01/01/2010,3988206202,478911231,256257978,253529285,2728693,222653253,N/E,3509294971,3391946213,3351328059,1789974421,183879605,1061527708,315946325,40618154,45237218,72111540,3988206202,2127927377,1918139502,1014014273,904125229,6004511,818484,5186027,3099919,716699,2383220,172023510,152954867,19068643,28659935,9936358,18723577,1128073252,745824374,190724995,39337905,4861485,146195900,1128593,106644039,9215661,52693828,44734550,26069657,599491877
01/02/2010,4003365436,467610158,255135980,252910770,2225210,212474178,N/E,3535755278,3419504209,3378772409,1789608459,182780754,1098409405,307973791,40731800,47477426,68773643,4003365436,2127625446,1897105032,991598383,905506649,5760019,882983,4877036,3048892,661151,2387741,190681479,166576078,24105401,31030024,12767062,18262962,1107382587,764384114,175662674,50720663,4938627,110994425,682084,110489944,12593925,54321256,43574763,22895570,634971889
01/03/2010,4010753791,486767304,252290154,250465886,1824268,234477150,N/E,3523986487,3408026391,3367174810,1785101312,189282109,1097908838,294882551,40851581,44998414,70961682,4010753791,2170224237,1916553744,994209112,922344632,5946342,980468,4965874,3219499,572705,2646794,213526326,180934601,32591725,30978326,11939941,19038385,1078018770,678516794,194222744,59631070,5552916,138661638,1433608,114373934,14190569,56883514,43299851,38659588,609477262
01/04/2010,4014051975,466908175,251533702,249933114,1600588,215374473,N/E,3547143800,3433352057,3392385486,1786165606,187579689,1111805656,306834535,40966571,39744325,74047418,4014051975,2134238734,1884655478,982452399,902203079,5814652,685912,5128740,3304037,591014,2713023,213168055,176516967,36651088,27296512,8169919,19126593,1102442375,711926121,212677286,72707275,2521360,101535651,1074682,111313526,11263288,57216689,42833549,31355684,634701656
