Banco de México,,,,
,,,,
Tasas y precios de referencia,,,,
Valores Públicos,,,,
,,,,
Fecha de consulta: 19/05/2020 01:31:49,,,,
,,,,
,,,,
,,,,
Título,TIIE a 1 dia ,"TIIE a 28 días, Tasa de interés promedio mensual, en por ciento anual","Fondeo promedio ponderado bancario, Tasa de interés promedio mensual, en por ciento anual","Cetes 28 días, Tasa de rendimiento promedio mensual, en por ciento anual"
Periodo disponible,Ene 2006 - Abr 2020,Mar 1995 - Abr 2020,Nov 1998 - Abr 2020,Ene 1978 - Abr 2020
Periodicidad,Mensual,Mensual,Mensual,Mensual
Cifra,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Unidad,Porcentajes,Porcentajes,Porcentajes,Porcentajes
Base,,,,
Aviso,,,,
Tipo de información,Niveles,Niveles,Niveles,Niveles
Fecha,SF331450,SF283,SF17863,SF282
01/01/1980,N/E,N/E,N/E,N/E
01/02/1980,N/E,N/E,N/E,N/E
01/03/1980,N/E,N/E,N/E,N/E
01/04/1980,N/E,N/E,N/E,N/E
01/05/1980,N/E,N/E,N/E,N/E
01/06/1980,N/E,N/E,N/E,N/E
01/07/1980,N/E,N/E,N/E,N/E
01/08/1980,N/E,N/E,N/E,N/E
01/09/1980,N/E,N/E,N/E,N/E
01/10/1980,N/E,N/E,N/E,N/E
01/11/1980,N/E,N/E,N/E,N/E
01/12/1980,N/E,N/E,N/E,N/E
01/01/1981,N/E,N/E,N/E,N/E
01/02/1981,N/E,N/E,N/E,N/E
01/03/1981,N/E,N/E,N/E,N/E
01/04/1981,N/E,N/E,N/E,N/E
01/05/1981,N/E,N/E,N/E,N/E
01/06/1981,N/E,N/E,N/E,N/E
01/07/1981,N/E,N/E,N/E,N/E
01/08/1981,N/E,N/E,N/E,N/E
01/09/1981,N/E,N/E,N/E,N/E
01/10/1981,N/E,N/E,N/E,N/E
01/11/1981,N/E,N/E,N/E,N/E
01/12/1981,N/E,N/E,N/E,N/E
01/01/1982,N/E,N/E,N/E,N/E
01/02/1982,N/E,N/E,N/E,N/E
01/03/1982,N/E,N/E,N/E,N/E
01/04/1982,N/E,N/E,N/E,N/E
01/05/1982,N/E,N/E,N/E,N/E
01/06/1982,N/E,N/E,N/E,N/E
01/07/1982,N/E,N/E,N/E,N/E
01/08/1982,N/E,N/E,N/E,N/E
01/09/1982,N/E,N/E,N/E,53.32
01/10/1982,N/E,N/E,N/E,36.23
01/11/1982,N/E,N/E,N/E,38.98
01/12/1982,N/E,N/E,N/E,49.1
01/01/1983,N/E,N/E,N/E,53.86
01/02/1983,N/E,N/E,N/E,56.92
01/03/1983,N/E,N/E,N/E,61.95
01/04/1983,N/E,N/E,N/E,59.69
01/05/1983,N/E,N/E,N/E,60.19
01/06/1983,N/E,N/E,N/E,59.18
01/07/1983,N/E,N/E,N/E,59.4
01/08/1983,N/E,N/E,N/E,N/E
01/09/1983,N/E,N/E,N/E,N/E
01/10/1983,N/E,N/E,N/E,N/E
01/11/1983,N/E,N/E,N/E,N/E
01/12/1983,N/E,N/E,N/E,N/E
01/01/1984,N/E,N/E,N/E,N/E
01/02/1984,N/E,N/E,N/E,N/E
01/03/1984,N/E,N/E,N/E,N/E
01/04/1984,N/E,N/E,N/E,N/E
01/05/1984,N/E,N/E,N/E,N/E
01/06/1984,N/E,N/E,N/E,N/E
01/07/1984,N/E,N/E,N/E,N/E
01/08/1984,N/E,N/E,N/E,N/E
01/09/1984,N/E,N/E,N/E,N/E
01/10/1984,N/E,N/E,N/E,N/E
01/11/1984,N/E,N/E,N/E,N/E
01/12/1984,N/E,N/E,N/E,N/E
01/01/1985,N/E,N/E,N/E,N/E
01/02/1985,N/E,N/E,N/E,48.26
01/03/1985,N/E,N/E,N/E,55.29
01/04/1985,N/E,N/E,N/E,57.77
01/05/1985,N/E,N/E,N/E,56.08
01/06/1985,N/E,N/E,N/E,61.98
01/07/1985,N/E,N/E,N/E,65.54
01/08/1985,N/E,N/E,N/E,69.31
01/09/1985,N/E,N/E,N/E,65.35
01/10/1985,N/E,N/E,N/E,61.95
01/11/1985,N/E,N/E,N/E,64.31
01/12/1985,N/E,N/E,N/E,71.65
01/01/1986,N/E,N/E,N/E,72.15
01/02/1986,N/E,N/E,N/E,72.49
01/03/1986,N/E,N/E,N/E,77.5
01/04/1986,N/E,N/E,N/E,80.5
01/05/1986,N/E,N/E,N/E,80.5
01/06/1986,N/E,N/E,N/E,84.63
01/07/1986,N/E,N/E,N/E,90.08
01/08/1986,N/E,N/E,N/E,95.17
01/09/1986,N/E,N/E,N/E,100.89
01/10/1986,N/E,N/E,N/E,99.66
01/11/1986,N/E,N/E,N/E,95.61
01/12/1986,N/E,N/E,N/E,99.28
01/01/1987,N/E,N/E,N/E,96.74
01/02/1987,N/E,N/E,N/E,96.71
01/03/1987,N/E,N/E,N/E,95.55
01/04/1987,N/E,N/E,N/E,92.97
01/05/1987,N/E,N/E,N/E,91.5
01/06/1987,N/E,N/E,N/E,91.64
01/07/1987,N/E,N/E,N/E,91.26
01/08/1987,N/E,N/E,N/E,90.22
01/09/1987,N/E,N/E,N/E,89.93
01/10/1987,N/E,N/E,N/E,90.1
01/11/1987,N/E,N/E,N/E,103.91
01/12/1987,N/E,N/E,N/E,122.04
01/01/1988,N/E,N/E,N/E,157.07
01/02/1988,N/E,N/E,N/E,153.52
01/03/1988,N/E,N/E,N/E,96.48
01/04/1988,N/E,N/E,N/E,63.5
01/05/1988,N/E,N/E,N/E,53.12
01/06/1988,N/E,N/E,N/E,40.41
01/07/1988,N/E,N/E,N/E,40.32
01/08/1988,N/E,N/E,N/E,41.34
01/09/1988,N/E,N/E,N/E,41.84
01/10/1988,N/E,N/E,N/E,44.51
01/11/1988,N/E,N/E,N/E,50
01/12/1988,N/E,N/E,N/E,52.3
01/01/1989,N/E,N/E,N/E,50.78
01/02/1989,N/E,N/E,N/E,49.15
01/03/1989,N/E,N/E,N/E,47.79
01/04/1989,N/E,N/E,N/E,50.09
01/05/1989,N/E,N/E,N/E,51.83
01/06/1989,N/E,N/E,N/E,56.68
01/07/1989,N/E,N/E,N/E,47.03
01/08/1989,N/E,N/E,N/E,34.76
01/09/1989,N/E,N/E,N/E,34.35
01/10/1989,N/E,N/E,N/E,37.92
01/11/1989,N/E,N/E,N/E,38.99
01/12/1989,N/E,N/E,N/E,40.55
01/01/1990,N/E,N/E,N/E,41.29
01/02/1990,N/E,N/E,N/E,45.2
01/03/1990,N/E,N/E,N/E,46.65
01/04/1990,N/E,N/E,N/E,44.64
01/05/1990,N/E,N/E,N/E,36.92
01/06/1990,N/E,N/E,N/E,32.38
01/07/1990,N/E,N/E,N/E,30.66
01/08/1990,N/E,N/E,N/E,29.72
01/09/1990,N/E,N/E,N/E,30.14
01/10/1990,N/E,N/E,N/E,28.7
01/11/1990,N/E,N/E,N/E,24.82
01/12/1990,N/E,N/E,N/E,25.99
01/01/1991,N/E,N/E,N/E,23.64
01/02/1991,N/E,N/E,N/E,23.15
01/03/1991,N/E,N/E,N/E,22.04
01/04/1991,N/E,N/E,N/E,21.12
01/05/1991,N/E,N/E,N/E,19.77
01/06/1991,N/E,N/E,N/E,17.74
01/07/1991,N/E,N/E,N/E,18.47
01/08/1991,N/E,N/E,N/E,16.71
01/09/1991,N/E,N/E,N/E,17.55
01/10/1991,N/E,N/E,N/E,17.87
01/11/1991,N/E,N/E,N/E,16.62
01/12/1991,N/E,N/E,N/E,16.65
01/01/1992,N/E,N/E,N/E,15.31
01/02/1992,N/E,N/E,N/E,14.56
01/03/1992,N/E,N/E,N/E,11.84
01/04/1992,N/E,N/E,N/E,12.44
01/05/1992,N/E,N/E,N/E,13.6
01/06/1992,N/E,N/E,N/E,15.03
01/07/1992,N/E,N/E,N/E,16.23
01/08/1992,N/E,N/E,N/E,16.49
01/09/1992,N/E,N/E,N/E,17.54
01/10/1992,N/E,N/E,N/E,19.39
