Fecha,Financiamiento total,A.Sector privado,a.1.Financiamiento directo,a.1.1.Consumo,a.1.2.Vivienda,a.1.3.Empresas y personas físicas con actividad empresarial,a.1.4.Intermediarios financieros no bancarios,a.2 Títulos asociados a programas de reestructuras,B.Estados y municipios,C.Sector público,D.Otros sectores residentes
01/01/2005,N/E,N/E,N/E,178415511,75563692,N/E,N/E,257534795,N/E,N/E,N/E
01/02/2005,N/E,N/E,N/E,183210359,78332648,N/E,N/E,257476502,N/E,N/E,N/E
01/03/2005,N/E,N/E,N/E,189946878,82357717,N/E,N/E,257531928,N/E,N/E,N/E
01/04/2005,N/E,N/E,N/E,196243770,86178604,N/E,N/E,258310203,N/E,N/E,N/E
01/05/2005,N/E,N/E,N/E,202108123,90594772,N/E,N/E,244970077,N/E,N/E,N/E
01/06/2005,N/E,N/E,N/E,209444090,94562926,N/E,N/E,241098856,N/E,N/E,N/E
01/07/2005,N/E,N/E,N/E,216399376,97732420,N/E,N/E,227257283,N/E,N/E,N/E
01/08/2005,N/E,N/E,N/E,224170846,99254564,N/E,N/E,203548576,N/E,N/E,N/E
01/09/2005,N/E,N/E,N/E,232717444,106288473,N/E,N/E,159582326,N/E,N/E,N/E
01/10/2005,N/E,N/E,N/E,248515597,111546731,N/E,N/E,148673184,N/E,N/E,N/E
01/11/2005,N/E,N/E,N/E,257985973,117551184,N/E,N/E,141310923,N/E,N/E,N/E
01/12/2005,N/E,N/E,N/E,267983945,135458171,N/E,N/E,102978634,N/E,N/E,N/E
01/01/2006,N/E,N/E,N/E,271696926,142464970,N/E,N/E,102055584,N/E,N/E,N/E
01/02/2006,N/E,N/E,N/E,281861597,146089592,N/E,N/E,101008845,N/E,N/E,N/E
01/03/2006,N/E,N/E,N/E,288853809,157097095,N/E,N/E,100116272,N/E,N/E,N/E
01/04/2006,N/E,N/E,N/E,301606149,165077885,N/E,N/E,95209771,N/E,N/E,N/E
01/05/2006,N/E,N/E,N/E,310760470,170546742,N/E,N/E,94730451,N/E,N/E,N/E
01/06/2006,N/E,N/E,N/E,320767947,174458475,N/E,N/E,71034160,N/E,N/E,N/E
01/07/2006,N/E,N/E,N/E,330241351,181483565,N/E,N/E,70609344,N/E,N/E,N/E
