Periodicidad: Mensual
"Periodo","Indicadores económicos de coyuntura > Índices de precios > Índice nacional de precios al consumidor. Base segunda quincena de julio de 2018=100 > Mensual > Inflación mensual interanual Índice general f2/ (Variación porcentual) ","Indicadores económicos de coyuntura > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Series desestacionalizadas y tendencia-ciclo > Nacional > Tasa de desocupación > Total > Serie desestacionalizada Índice a/  f1/ (Porcentaje de la Población Económicamente Activa) ","Ocupación, empleo y remuneraciones > Indicadores de competitividad laboral > Tasas de interés nominales > Mensual México b/  f3/ (Tasa de rendimiento anual) "
"1980/01","21.56","",""
"1980/02","22.6","",""
"1980/03","23.45","",""
"1980/04","24.49","",""
"1980/05","24.89","",""
"1980/06","25.97","",""
"1980/07","27.94","",""
"1980/08","28.64","",""
"1980/09","28.49","",""
"1980/10","28.2","",""
"1980/11","28.77","",""
"1980/12","29.85","",""
"1981/01","27.8","",""
"1981/02","27.98","",""
"1981/03","28.08","",""
"1981/04","28.72","",""
"1981/05","28.57","",""
"1981/06","27.83","",""
"1981/07","26.55","",""
"1981/08","26.54","",""
"1981/09","27.47","",""
"1981/10","28.36","",""
"1981/11","28.6","",""
"1981/12","28.68","",""
"1982/01","30.86","",""
"1982/02","32.74","",""
"1982/03","34.71","",""
"1982/04","38.88","",""
"1982/05","44.5","",""
"1982/06","49.37","",""
"1982/07","54.35","",""
"1982/08","68.21","",""
"1982/09","73.95","",""
"1982/10","79","",""
"1982/11","84.49","",""
"1982/12","98.84","",""
"1983/01","110.04","",""
"1983/02","112.95","",""
"1983/03","115.39","",""
"1983/04","117.25","",""
"1983/05","114.61","",""
"1983/06","112.5","",""
"1983/07","112.08","",""
"1983/08","98.08","",""
"1983/09","93.83","",""
"1983/10","90.39","",""
"1983/11","91.87","",""
"1983/12","80.78","",""
"1984/01","73.4","",""
"1984/02","73.25","",""
"1984/03","72.31","",""
"1984/04","69.06","",""
"1984/05","67.41","",""
"1984/06","67.14","",""
"1984/07","64.49","",""
"1984/08","62.84","",""
"1984/09","62.68","",""
"1984/10","62.96","",""
"1984/11","59.2","",""
"1984/12","59.16","",""
"1985/01","60.75","",""
"1985/02","59.04","",""
"1985/03","58.43","",""
"1985/04","56.53","",""
"1985/05","55.1","",""
"1985/06","53.43","",""
"1985/07","53.73","",""
"1985/08","56.02","",""
"1985/09","57.55","",""
"1985/10","58.02","",""
"1985/11","59.82","",""
"1985/12","63.75","",""
"1986/01","65.92","",""
"1986/02","66.38","",""
"1986/03","67.62","",""
"1986/04","71.11","",""
"1986/05","76.44","",""
"1986/06","83.17","",""
"1986/07","85.84","",""
"1986/08","92.25","",""
"1986/09","95.96","",""
"1986/10","99.58","",""
"1986/11","103.67","",""
"1986/12","105.75","",""
"1987/01","104.34","",""
"1987/02","109.76","",""
"1987/03","113.69","",""
"1987/04","120.86","",""
"1987/05","125","",""
"1987/06","126.73","",""
"1987/07","133.44","",""
"1987/08","133.88","",""
"1987/09","135.18","",""
"1987/10","141","",""
"1987/11","143.65","",""
"1987/12","159.17","",""
"1988/01","176.83","",""
"1988/02","179.73","",""
"1988/03","175.83","",""
"1988/04","161.44","",""
"1988/05","147.82","",""
"1988/06","135.81","",""
"1988/07","121.79","",""
"1988/08","106.92","",""
