Cuadro II.2,,,,
Salarios en el IMSS 1 2,,,,
(Pesos por día),,,,
Periodo,Salario diario asociado a cotizantes,Salario diario asociado a trabajadores asegurados,,
,,Total,Hombres,Mujeres
2000,129.69 ,134.58 ,143.87 ,116.34 
Enero,124.36 ,130.44 ,139.56 ,112.17 
Febrero,124.96 ,129.28 ,137.64 ,112.56 
Marzo,126.25 ,131.02 ,139.73 ,113.65 
Abril,127.97 ,132.53 ,141.60 ,114.55 
Mayo,130.03 ,134.69 ,144.24 ,115.86 
Junio,131.16 ,135.85 ,145.45 ,117.04 
Julio,130.16 ,134.88 ,144.33 ,116.40 
Agosto,130.04 ,134.98 ,144.46 ,116.44 
Septiembre,130.98 ,135.84 ,145.34 ,117.32 
Octubre,132.19 ,137.18 ,146.65 ,118.84 
Noviembre,132.58 ,137.64 ,147.10 ,119.41 
Diciembre,135.03 ,140.61 ,150.39 ,121.80 
2001,146.19 ,151.04 ,161.20 ,131.41 
Enero,142.19 ,148.31 ,158.83 ,127.86 
Febrero,141.35 ,146.03 ,155.59 ,127.42 
Marzo,142.77 ,148.12 ,157.92 ,129.09 
Abril,145.91 ,150.12 ,160.08 ,130.82 
Mayo,145.53 ,150.26 ,160.58 ,130.29 
Junio,148.09 ,152.90 ,163.56 ,132.35 
Julio,146.50 ,151.05 ,161.43 ,131.02 
Agosto,146.58 ,151.61 ,161.83 ,131.87 
Septiembre,147.30 ,152.41 ,162.63 ,132.74 
Octubre,148.79 ,153.00 ,163.09 ,133.55 
Noviembre,148.69 ,153.11 ,163.06 ,134.00 
Diciembre,150.88 ,155.54 ,165.77 ,135.95 
2002,158.04 ,163.20 ,173.89 ,142.69 
Enero,157.05 ,162.97 ,173.95 ,141.69 
Febrero,157.77 ,162.35 ,173.15 ,141.38 
Marzo,156.54 ,161.18 ,171.47 ,141.34 
Abril,155.97 ,160.55 ,170.79 ,140.80 
Mayo,158.17 ,163.42 ,174.22 ,142.68 
Junio,158.28 ,163.46 ,174.34 ,142.65 
Julio,158.77 ,164.12 ,175.02 ,143.21 
Agosto,158.54 ,163.94 ,174.68 ,143.33 
Septiembre,158.53 ,163.55 ,174.19 ,143.21 
Octubre,157.74 ,162.96 ,173.60 ,142.69 
Noviembre,159.19 ,164.46 ,175.15 ,144.16 
Diciembre,159.92 ,165.40 ,176.06 ,145.15 
2003,168.36 ,174.85 ,185.95 ,153.69 
Enero,165.08 ,172.55 ,183.75 ,151.07 
Febrero,166.38 ,172.41 ,183.43 ,151.24 
Marzo,166.02 ,172.12 ,182.69 ,151.84 
Abril,166.45 ,172.34 ,182.97 ,152.01 
Mayo,168.45 ,175.22 ,186.43 ,153.85 
Junio,169.03 ,175.27 ,186.45 ,154.00 
Julio,170.22 ,176.98 ,188.56 ,154.90 
Agosto,170.36 ,176.97 ,188.44 ,155.11 
Septiembre,169.20 ,175.57 ,186.65 ,154.50 
Octubre,168.58 ,174.91 ,185.96 ,153.97 
Noviembre,170.14 ,176.35 ,187.54 ,155.22 
Diciembre,170.48 ,177.49 ,188.58 ,156.55 
2004,179.24 ,185.78 ,197.52 ,163.70 
Enero,177.97 ,184.55 ,196.21 ,162.35 
Febrero,177.77 ,184.30 ,195.91 ,162.22 
Marzo,176.62 ,182.88 ,193.96 ,161.86 
Abril,176.80 ,183.06 ,194.31 ,161.81 
Mayo,180.15 ,186.56 ,198.47 ,164.17 
Junio,179.72 ,186.41 ,198.40 ,163.93 
Julio,181.55 ,187.91 ,199.97 ,165.26 
Agosto,181.02 ,187.62 ,199.54 ,165.23 
Septiembre,179.68 ,186.17 ,198.07 ,163.89 
Octubre,179.01 ,185.67 ,197.57 ,163.47 
Noviembre,180.17 ,186.63 ,198.49 ,164.48 
Diciembre,180.14 ,187.64 ,199.39 ,165.70 
2005,189.96 ,196.50 ,208.89 ,173.40 
Enero,188.98 ,195.16 ,207.52 ,171.90 
Febrero,188.41 ,194.63 ,206.86 ,171.62 
Marzo,188.09 ,194.45 ,206.27 ,172.29 
Abril,188.02 ,194.33 ,206.14 ,172.22 
Mayo,190.75 ,197.07 ,209.53 ,173.76 
Junio,190.31 ,196.89 ,209.44 ,173.51 
Julio,192.23 ,198.80 ,211.69 ,174.77 
Agosto,191.77 ,198.10 ,210.84 ,174.37 
Septiembre,190.24 ,196.59 ,209.09 ,173.40 
Octubre,189.50 ,195.72 ,208.19 ,172.66 
Noviembre,190.70 ,197.51 ,210.01 ,174.42 
Diciembre,190.23 ,198.74 ,211.15 ,175.82 
2006,200.07,207.15 ,220.25 ,183.08 
Enero,199.16,206.80 ,219.61 ,182.94 
Febrero,198.80,206.35 ,219.04 ,182.73 
Marzo,198.01,204.88 ,217.25 ,181.92 
Abril,197.86,205.19 ,217.74 ,182.03 
Mayo,200.84,207.68 ,221.02 ,183.17 
Junio,200.32,207.09 ,220.44 ,182.62 
Julio,202.42,209.16 ,222.80 ,184.09 
Agosto,201.72,208.65 ,222.07 ,183.97 
Septiembre,200.57,207.11 ,220.28 ,183.01 
Octubre,199.57,206.05 ,219.23 ,182.01 
Noviembre,200.74,207.75 ,221.12 ,183.46 
Diciembre,200.50,209.09 ,222.42 ,184.95 
2007,211.05,217.68 ,231.43 ,192.82 
Enero,211.37,217.60 ,231.27 ,192.59 
Febrero,210.52,217.06 ,230.57 ,192.33 
Marzo,209.41,215.69 ,228.76 ,191.87 
Abril,209.58,215.73 ,228.80 ,191.93 
Mayo,212.02,218.18 ,232.06 ,193.01 
Junio,211.34,217.93 ,231.88 ,192.70 
Julio,213.21,219.61 ,233.86 ,193.82 
Agosto,212.50,219.08 ,233.12 ,193.69 
Septiembre,210.94,217.46 ,231.38 ,192.40 
Octubre,209.80,216.47 ,230.20 ,191.81 
Noviembre,210.85,218.24 ,232.14 ,193.42 
Diciembre,210.91,219.15 ,233.11 ,194.29 
2008,222.30,229.59 ,243.77 ,204.23 
Enero,220.67,227.84 ,241.89 ,202.54 
Febrero,220.54,227.46 ,241.32 ,202.46 
Marzo,220.74,227.37 ,241.16 ,202.60 
Abril,220.50,226.87 ,240.49 ,202.40 
Mayo,222.97,229.75 ,244.34 ,203.60 
Junio,222.53,229.52 ,244.15 ,203.36 
Julio,224.91,232.19 ,246.51 ,206.49 
Agosto,224.34,231.92 ,246.09 ,206.54 
