Fecha,Consumo,Vivienda
01/01/1995,45290823,103049794
01/02/1995,44806415,105415894
01/03/1995,44102028,108887182
01/04/1995,44053898,113546480
01/05/1995,43553659,118349578
01/06/1995,41926750,122007043
01/07/1995,41793533,125011598
01/08/1995,42676889.4,126122430.6
01/09/1995,40702421.1,126685089.9
01/10/1995,40211257.35,113638717.1
01/11/1995,40409315.68,103858968.8
01/12/1995,40055148.16,101946868.2
01/01/1996,39725365.38,99830704.88
01/02/1996,38456070.88,96390988.38
01/03/1996,37635063.06,96849405.86
01/04/1996,36884165.63,97927003.99
01/05/1996,36789350.22,98490835.85
01/06/1996,35942237.37,96826025.05
01/07/1996,36099895.39,85732981.32
01/08/1996,35886264.6,81867831.4
01/09/1996,35342903.3,78118272.7
01/10/1996,34454042.6,77268469.4
01/11/1996,34844144,80858032
01/12/1996,32223943.1,59979700.9
01/01/1997,31190018.97,68353256.73
01/02/1997,27658426.2,69671475.8
01/03/1997,28716940.5,72353005.5
01/04/1997,28851090.8,71565071.2
01/05/1997,29431847.3,71082882.7
01/06/1997,27996544,73223115
01/07/1997,28346247,72453787
01/08/1997,28807891,72719788
01/09/1997,29870933,72417135
01/10/1997,29922272,73064543
01/11/1997,30447513,73384086
01/12/1997,30425155,74042684
01/01/1998,30391575,74605023
01/02/1998,30430035,75025786
01/03/1998,30737452,74584238
01/04/1998,31309419,75026532
01/05/1998,31631912,76571789
01/06/1998,32237922,76300950
01/07/1998,32940811,77681169
01/08/1998,33622704,77237677
01/09/1998,32239587,78762046
01/10/1998,28339120,77015837
01/11/1998,29007340,79129144
01/12/1998,29045747,77683604
01/01/1999,29655115,79312250
01/02/1999,29199011,80230330
01/03/1999,29254213,79112840
01/04/1999,30451209,79309811
01/05/1999,31201886,80093530
01/06/1999,31581580,79225739
01/07/1999,31259150,79289512
01/08/1999,32725208,78450464
01/09/1999,32370127,77925462
01/10/1999,32746353,78197434
01/11/1999,34353521,77853395
01/12/1999,34458846,77182253
01/01/2000,33182870,76697740
01/02/2000,32975582,74248599
01/03/2000,33137116,75848594
01/04/2000,34178691,75009813
01/05/2000,35155801,74664425
01/06/2000,35877464,70840784
01/07/2000,37059397,70383888
01/08/2000,38158410,70018341
01/09/2000,38564023,68403906
01/10/2000,39276850,68761441
01/11/2000,41236188,70102682
01/12/2000,43343774,69112873
01/01/2001,44403628,65087631
01/02/2001,45067536,68460675
01/03/2001,47351859,64629007
01/04/2001,49006145,64796415
01/05/2001,47330431,64534368
01/06/2001,49208540,64353344
01/07/2001,50184995,62505215
01/08/2001,50421435,62047297
01/09/2001,51049535,62339205
01/10/2001,52461944,62326840
01/11/2001,56310580,60712683
