DATE,LRUNTTTTMXM156S,MEXLOCOSTORSTM,MEXCPIALLMINMEI_PC1
01/01/1980,,17.9,21.55624
01/02/1980,,18.39,22.6041
01/03/1980,,19.2,23.45166
01/04/1980,,19.83,24.49475
01/05/1980,,20.39,24.88926
01/06/1980,,20.47,25.96892
01/07/1980,,20.53,27.93593
01/08/1980,,20.82,28.6399
01/09/1980,,21.51,28.49281
01/10/1980,,22.42,28.20016
01/11/1980,,22.77,28.76663
01/12/1980,,24.25,29.84668
01/01/1981,,25.46,27.79952
01/02/1981,,25.98,27.98011
01/03/1981,,26.59,28.08266
01/04/1981,,26.91,28.72103
01/05/1981,,27.22,28.57068
01/06/1981,,27.66,27.83235
01/07/1981,,28.42,26.55026
01/08/1981,,29.5,26.53635
01/09/1981,,30.45,27.47481
01/10/1981,,31.22,28.35895
01/11/1981,,31.77,28.59823
01/12/1981,,31.81,28.68463
01/01/1982,,32.34,30.86244
01/02/1982,,33.43,32.74412
01/03/1982,,33.67,34.71073
01/04/1982,,34.39,38.87946
01/05/1982,,36.26,44.49994
01/06/1982,,39.59,49.37347
01/07/1982,,43.23,54.35173
01/08/1982,,46.42,68.2065
01/09/1982,,47.88,73.94928
01/10/1982,,45.99,78.9955
01/11/1982,,45.51,84.49454
01/12/1982,,46.12,98.8438
01/01/1983,,50.29,110.04363
01/02/1983,,54.24,112.94789
01/03/1983,,56.16,115.38844
01/04/1983,,57.21,117.25097
01/05/1983,,58.14,114.61059
01/06/1983,,58.63,112.50067
01/07/1983,,58.73,112.07899
01/08/1983,,58.23,98.08235
01/09/1983,,57.78,93.83174
01/10/1983,,57.14,90.39313
01/11/1983,,56.82,91.87402
01/12/1983,,56.44,80.77822
01/01/1984,,55.95,73.39556
01/02/1984,,55.16,73.2492
01/03/1984,,53.11,72.31379
01/04/1984,,51.1,69.06422
01/05/1984,,50.12,67.40947
01/06/1984,,50.38,67.139
01/07/1984,,50.69,64.48559
01/08/1984,,50.93,62.84052
01/09/1984,,50.6,62.68455
01/10/1984,,49.34,62.96153
01/11/1984,,48.31,59.20429
01/12/1984,,47.54,59.1566
01/01/1985,,47.17,60.75052
01/02/1985,,47.33,59.03549
01/03/1985,,49.36,58.42663
01/04/1985,,51.93,56.53005
01/05/1985,,53.76,55.09543
01/06/1985,,54.92,53.42716
01/07/1985,,57,53.73082
01/08/1985,,59.06,56.01686
01/09/1985,,60.98,57.5544
01/10/1985,,62.29,58.01821
01/11/1985,,63.39,59.82359
01/12/1985,,65.66,63.74936
01/01/1986,,68.55,65.91869
01/02/1986,,70.3,66.38288
01/03/1986,,71.79,67.62111
01/04/1986,,73.48,71.10722
01/05/1986,,75.02,76.43599
01/06/1986,,76.97,83.17378
01/07/1986,,81.36,85.84132
01/08/1986,,84.4,92.25303
01/09/1986,,87.72,95.96022
01/10/1986,,91.48,99.58002
01/11/1986,,94.19,103.66749
01/12/1986,,95.33,105.74867
01/01/1987,4.5,95.89,104.34207
01/02/1987,4.7,96.2,109.76124
01/03/1987,4.2,96.25,113.69133
01/04/1987,4.4,95.79,120.8577
01/05/1987,3.9,94.79,125.00418
01/06/1987,3.9,93.76,126.72804
01/07/1987,3.7,92.91,133.44336
01/08/1987,3.7,92.15,133.87626
01/09/1987,3.4,91.02,135.17562
01/10/1987,3.6,90.3,140.99845
01/11/1987,3.5,92.37,143.65297
01/12/1987,3.1,104.29,159.16805
01/01/1988,3.5,122.54,176.82717
01/02/1988,3.3,135.88,179.73192
01/03/1988,3.7,117.16,175.82784
01/04/1988,3.7,81.03,161.44264
01/05/1988,3.7,60.59,147.8184
